Date,Day of Week,# in Line,Line-up Time,Pick-up Time,Notes
9/8/2016,Thursday,4,7:43:00 AM,7:47:00 AM,
9/8/2016,Thursday,20,8:39:00 AM,,Took bus
9/9/2016,Friday,1,7:54:00 AM,7:57:00 AM,
9/12/2016,Monday,17,8:07:00 AM,8:14:00 AM,
9/13/2016,Tuesday,0,7:40:00 AM,7:40:00 AM,
9/13/2016,Tuesday,5,8:01:00 AM,8:02:00 AM,
9/14/2016,Wednesday,14,7:50:00 AM,8:03:00 AM,
9/20/2016,Tuesday,0,7:51:00 AM,7:51:00 AM,
9/21/2016,Wednesday,2,8:00:00 AM,8:02:00 AM,
9/22/2016,Thursday,3,7:50:00 AM,7:52:00 AM,
9/22/2016,Thursday,21,8:03:00 AM,8:12:00 AM,
9/23/2016,Friday ,25,7:53:00 AM,8:07:00 AM,
9/23/2016,Friday,11,8:09:00 AM,8:17:00 AM,
9/26/2016,Monday,13,8:00:00 AM,8:08:00 AM,
9/26/2016,Monday,14,8:00:00 AM,8:10:00 AM,
9/27/2016,Tuesday,13,7:30:00 AM,7:39:00 AM,"7 ahead of me, took bus"
9/27/2016,Tuesday,15,8:05:00 AM,8:14:00 AM,
9/28/2016,Wednesday,8,7:46:00 AM,7:58:00 AM,
9/28/2016,Wednesday,20,8:16:00 AM,8:31:00 AM,
9/29/2016,Thursday,2,7:40:00 AM,7:45:00 AM,
9/29/2016,Thursday,16,8:06:00 AM,8:13:00 AM,
9/30/2016,Friday,6,7:48:00 AM,7:51:00 AM,
9/30/2016,Friday,15,8:17:00 AM,8:25:00 AM,
10/3/2016,Monday ,18,8:10:00 AM,8:20:00 AM,
10/4/2016,Tuesday,20,7:48:00 AM,7:57:00 AM,
10/4/2016,Tuesday,12,8:31:00 AM,8:34:00 AM,Dreamforce this week causing heavy traffic
10/5/2016,Wednesday,24,7:54:00 AM,,bus
10/5/2016,Wednesday,23,8:19:00 AM,,Bus
10/6/2016,Thursday,19,7:56:00 AM,,Bus
10/6/2016,Thursday,13,8:07:00 AM,8:14:00 AM,
10/7/2016,Friday,7,7:21:00 AM,7:26:00 AM,
10/24/2016,Monday,25,7:54:00 AM,,bus
10/25/2016,Tuesday,20,7:45:00 AM,7:52:00 AM,
10/26/2016,Wednesday,0,6:54:00 AM,6:54:00 AM,
10/26/2016,Wednesday,13,8:20:00 AM,8:31:00 AM,
10/27/2016,Thursday,8,7:46:00 AM,7:53:00 AM,
10/27/2016,Thursday,9,8:59:00 AM,,Bus
10/28/2016,Friday,10,7:59:00 AM,8:07:00 AM,
10/31/2016,Monday ,6,8:00:00 AM,8:05:00 AM,
11/1/2016,Tuesday,0,7:09:00 AM,7:09:00 AM,
11/1/2016,Tuesday,9,8:21:00 AM,8:25:00 AM,
11/2/2016,Wednesday,7,7:44:00 AM,7:53:00 AM,
11/2/2016,Wednesday,11,8:00:00 AM,8:02:00 AM,
11/3/2016,Thursday,0,7:38:00 AM,7:38:00 AM,
11/3/2016,Thursday,15,8:23:00 AM,8:29:00 AM,
11/4/2016,Friday,6,7:46:00 AM,7:52:00 AM,
11/4/2016,Friday,11,8:06:00 AM,8:16:00 AM,
11/7/2016,Monday ,15,7:52:00 AM,8:02:00 AM,
11/9/2016,Wednesday,14,7:52:00 AM,8:08:00 AM,
11/16/2016,Wednesday,5,7:55:00 AM,7:58:00 AM,
11/21/2016,Monday,0,7:47:00 AM,7:47:00 AM,
11/21/2016,Monday,0,8:33:00 AM,8:33:00 AM,
11/22/2016,Tuesday,8,7:39:00 AM,7:43:00 AM,
11/22/2016,Tuesday,8,8:21:00 AM,8:24:00 AM,
11/23/2016,Wednesday,8,7:42:00 AM,7:48:00 AM,
11/23/2016,Wednesday,3,8:12:00 AM,8:15:00 AM,
11/28/2016,Monday,21,7:47:00 AM,8:01:00 AM,
11/28/2016,Monday,14,8:08:00 AM,8:14:00 AM,
11/29/2016,Tuesday,6,7:34:00 AM,7:43:00 AM,
