date,ticker,followers_count_sum,p_neg_mean,polarity_mean,tweet_count,p_pos_mean,favorites_sum,retweets_sum
2014-12-31,eem,13100.0,0.1842754893176,0.0,2,0.8157245106825,1.0,0.0
2014-12-31,hyg,321.0,0.45326091534999996,-0.7,1,0.54673908465,0.0,0.0
2015-01-01,eem,34966.0,0.32681742543336667,0.016666666666666666,15,0.6731825745666666,4.0,0.0
2015-01-01,hyg,25428.0,0.2936033597567,-0.036458333333333336,6,0.7063966402433333,2.0,1.0
2015-01-02,eem,565266.0,0.27222388059867403,0.04171810699585926,27,0.7277761194012962,15.0,9.0
2015-01-02,hyg,146976.0,0.3250394331093157,0.0011657932710473686,19,0.6749605668906841,24.0,7.0
2015-01-03,eem,67361.0,0.23112316365053104,0.041091954023,29,0.7688768363494483,14.0,5.0
2015-01-03,hyg,20255.0,0.2317505167204278,-0.016512345679,18,0.7682494832796112,7.0,1.0
2015-01-04,eem,126722.0,0.21837345459416824,0.07767276422765122,41,0.7816265454058535,43.0,40.0
2015-01-04,hyg,21324.0,0.16545812130577778,0.1170138888888889,9,0.8345418786942221,3.0,0.0
2015-01-05,eem,798893.0,0.2283349809491211,0.026150121065375256,59,0.7716650190508983,42.0,34.0
2015-01-05,hyg,163160.0,0.27612742537415635,0.04311373211836297,54,0.7238725746258294,20.0,13.0
2015-01-06,eem,118772.0,0.3125049973646156,0.04749002249005676,37,0.6874950026353782,8.0,1.0
2015-01-06,hyg,220081.0,0.3174120317174967,-0.027838915470468416,57,0.6825879682824736,33.0,20.0
2015-01-07,eem,116357.0,0.15546824224111258,0.03336385836386667,39,0.8445317577588205,10.0,8.0
2015-01-07,hyg,126519.0,0.13333114075622401,0.012304421768685712,35,0.8666688592438287,7.0,6.0
2015-01-08,eem,122145.0,0.20158752925028595,0.002910981156607017,57,0.7984124707497366,12.0,12.0
2015-01-08,hyg,88256.0,0.3002616096733324,0.09907600824423529,34,0.6997383903267087,7.0,11.0
2015-01-09,eem,83687.0,0.2310190118704381,0.03297077922082244,49,0.7689809881295099,19.0,12.0
2015-01-09,hyg,439938.0,0.21616187589390007,0.0870966344690755,49,0.7838381241061428,27.0,15.0
2015-01-10,eem,81509.0,0.2107878102326515,0.030523989899,33,0.7892121897674244,13.0,12.0
2015-01-10,hyg,17523.0,0.12366071668255296,0.01671122994652941,17,0.8763392833174705,3.0,4.0
2015-01-11,eem,62727.0,0.22370732934147333,0.07068515011225417,24,0.7762926706585,20.0,17.0
2015-01-11,hyg,45937.0,0.24229464200858572,0.077380952381,7,0.7577053579914285,6.0,1.0
2015-01-12,eem,114279.0,0.2460587195516336,0.09471293604651163,43,0.7539412804483724,11.0,7.0
2015-01-12,hyg,95275.0,0.31884986356176764,0.051049140049143245,37,0.6811501364382703,10.0,11.0
2015-01-13,eem,187084.0,0.2751372033636205,0.04382478632479487,39,0.7248627966363846,6.0,7.0
2015-01-13,hyg,184118.0,0.31403107412970427,-0.05196846713891819,33,0.6859689258702577,16.0,13.0
2015-01-14,eem,135062.0,0.22096004416903273,0.06267484628897392,46,0.7790399558309783,25.0,6.0
2015-01-14,hyg,40102.0,0.1645364986036326,0.05214834411133334,27,0.8354635013964073,4.0,1.0
2015-01-15,eem,147738.0,0.22961759954500255,0.02698747341839211,38,0.770382400455,7.0,3.0
2015-01-15,hyg,127679.0,0.15447390469385727,0.045691056910592685,41,0.8455260953061705,9.0,16.0
2015-01-16,eem,144139.0,0.2090449866453588,0.026102941176470586,34,0.7909550133546469,11.0,10.0
2015-01-16,hyg,96686.0,0.1638415014857303,0.05209977324262858,35,0.8361584985142,13.0,7.0
2015-01-17,eem,113577.0,0.20752143774257564,0.025651105651135132,37,0.7924785622575135,25.0,33.0
2015-01-17,hyg,591160.0,0.12166053327653752,0.011736111111137504,24,0.8783394667235416,72.0,51.0
2015-01-18,eem,43733.0,0.26160659016063464,-0.012774725274711537,26,0.7383934098393846,7.0,7.0
2015-01-18,hyg,19957.0,0.14439957718261054,0.04166666666668421,19,0.8556004228174212,6.0,0.0
2015-01-19,eem,64500.0,0.3119346530104484,0.0171407052986,19,0.6880653469895789,5.0,13.0
2015-01-19,hyg,20199.0,0.3358956382766875,0.018229166666687502,16,0.6641043617233127,2.0,3.0
2015-01-20,eem,239112.0,0.28286685819230006,0.03425659657803334,42,0.7171331418077072,5.0,3.0
2015-01-20,hyg,91870.0,0.22906997510541038,-0.018921296296287998,40,0.7709300248945749,7.0,9.0
2015-01-21,eem,145372.0,0.2378908101947027,0.03362306096681666,48,0.7621091898053334,17.0,7.0
2015-01-21,hyg,55542.0,0.26981000456338095,0.05048963662600909,22,0.7301899954366818,6.0,10.0
2015-01-22,eem,162126.0,0.3016226404023039,0.07600512265510799,50,0.6983773595976699,12.0,3.0
2015-01-22,hyg,98136.0,0.213871821690132,0.019914285714280004,25,0.7861281783099598,7.0,4.0
2015-01-23,eem,247432.0,0.21167735438115892,0.10592020592018918,37,0.7883226456188648,9.0,5.0
2015-01-23,hyg,82217.0,0.15571254436535,0.023555555555566668,30,0.8442874556346668,9.0,2.0
